0.5014	0.5000
0.5470	0.5263
0.5014	0.5526
0.5470	0.4211
0.5925	0.4474
0.5470	0.4737
0.4558	0.4211
0.5014	0.4474
0.4558	0.4737
0.5925	0.5000
0.6381	0.5263
0.5925	0.5526
0.5470	0.5789
0.5925	0.6053
0.5470	0.6316
0.4558	0.5789
0.5014	0.6053
0.4558	0.6316
0.4102	0.5000
0.4558	0.5263
0.4102	0.5526
0.5014	0.6579
0.5470	0.6842
0.5014	0.7105
0.5925	0.6579
0.6381	0.6842
0.5925	0.7105
0.6381	0.5789
0.6837	0.6053
0.6381	0.6316
0.6837	0.5000
0.7293	0.5263
0.6837	0.5526
0.6381	0.4211
0.6837	0.4474
0.6381	0.4737
0.5925	0.3421
0.6381	0.3684
0.5925	0.3947
0.5014	0.3421
0.5470	0.3684
0.5014	0.3947
0.4102	0.3421
0.4558	0.3684
0.4102	0.3947
0.3646	0.4211
0.4102	0.4474
0.3646	0.4737
0.3191	0.5000
0.3646	0.5263
0.3191	0.5526
0.3646	0.5789
0.4102	0.6053
0.3646	0.6316
0.4102	0.6579
0.4558	0.6842
0.4102	0.7105
