1	0,5014	0,5000
2	0,5014	0,5526
3	0,5470	0,5263
4	0,5470	0,4737
5	0,5014	0,4474
6	0,4558	0,4737
7	0,4558	0,5263
8	0,5925	0,6053
9	0,5925	0,6579
10	0,6381	0,6316
11	0,6381	0,5789
12	0,5925	0,5526
13	0,5470	0,5789
14	0,5470	0,6316
15	0,6381	0,4737
16	0,6381	0,5263
17	0,6837	0,5000
18	0,6837	0,4474
19	0,6381	0,4211
20	0,5925	0,4474
21	0,5925	0,5000
22	0,5470	0,3684
23	0,5470	0,4211
24	0,5925	0,3947
25	0,5925	0,3421
26	0,5470	0,3158
27	0,5014	0,3421
28	0,5014	0,3947
29	0,4102	0,3947
30	0,4102	0,4474
31	0,4558	0,4211
32	0,4558	0,3684
33	0,4102	0,3421
34	0,3646	0,3684
35	0,3646	0,4211
36	0,3646	0,5263
37	0,3646	0,5789
38	0,4102	0,5526
39	0,4102	0,5000
40	0,3646	0,4737
41	0,3191	0,5000
42	0,3191	0,5526
43	0,4558	0,6316
44	0,4558	0,6842
45	0,5014	0,6579
46	0,5014	0,6053
47	0,4558	0,5789
48	0,4102	0,6053
49	0,4102	0,6579
50	0,5470	0,7368
51	0,5470	0,7895
52	0,5925	0,7632
53	0,5925	0,7105
54	0,5470	0,6842
55	0,5014	0,7105
56	0,5014	0,7632
57	0,6837	0,7105
58	0,6837	0,7632
59	0,7293	0,7368
60	0,7293	0,6842
61	0,6837	0,6579
62	0,6381	0,6842
63	0,6381	0,7368
64	0,7293	0,5789
65	0,7293	0,6316
66	0,7749	0,6053
67	0,7749	0,5526
68	0,7293	0,5263
69	0,6837	0,5526
70	0,6837	0,6053
71	0,7749	0,4474
72	0,7749	0,5000
73	0,8204	0,4737
74	0,8204	0,4211
75	0,7749	0,3947
76	0,7293	0,4211
77	0,7293	0,4737
78	0,6837	0,3421
79	0,6837	0,3947
80	0,7293	0,3684
81	0,7293	0,3158
82	0,6837	0,2895
83	0,6381	0,3158
84	0,6381	0,3684
85	0,5925	0,2368
86	0,5925	0,2895
87	0,6381	0,2632
88	0,6381	0,2105
89	0,5925	0,1842
90	0,5470	0,2105
91	0,5470	0,2632
92	0,4558	0,2632
93	0,4558	0,3158
94	0,5014	0,2895
95	0,5014	0,2368
96	0,4558	0,2105
97	0,4102	0,2368
98	0,4102	0,2895
99	0,3191	0,2895
100	0,3191	0,3421
101	0,3646	0,3158
102	0,3646	0,2632
103	0,3191	0,2368
104	0,2735	0,2632
105	0,2735	0,3158
106	0,2735	0,4211
107	0,2735	0,4737
108	0,3191	0,4474
109	0,3191	0,3947
110	0,2735	0,3684
111	0,2279	0,3947
112	0,2279	0,4474
113	0,2279	0,5526
114	0,2279	0,6053
115	0,2735	0,5789
116	0,2735	0,5263
117	0,2279	0,5000
118	0,1823	0,5263
119	0,1823	0,5789
120	0,3191	0,6579
121	0,3191	0,7105
122	0,3646	0,6842
123	0,3646	0,6316
124	0,3191	0,6053
125	0,2735	0,6316
126	0,2735	0,6842
127	0,4102	0,7632
128	0,4102	0,8158
129	0,4102	0,8158
130	0,4558	0,7368
131	0,4102	0,7105
132	0,3646	0,7368
133	0,3646	0,7895
