7,7069
12,7031
7,5814
0,9079
26,6898
17,3499
38,1367
-4,0105
3,3919
12,4142
8,0169
11,3265
0,7081
3,6019
8,9848
14,1929
8,2101
-4,7882
-1,1889
6,7154
5,6975
6,8651
-0,8147
1,1029
0,4854
11,4370
7,3862
-3,8162
1,6992
-0,3909
33,4901
-6,4950
3,8214
-3,9356
23,3287
0,1198
7,1479
14,4227
6,0140
22,8594
12,2176
7,4550
8,6644
5,9003
14,0064
4,7494
39,6763
56,9642
1,5959
-2,9079
2,9668
-4,3636
11,0644
-3,6168
6,9105
0,2211
3,6805
1,5919
2,9627
3,9010
11,0147
13,5148
9,7399
12,6840
4,3686
-8,3960
17,3588
0,8640
-1,2297
5,0087
7,3940
1,4145
10,8532
8,8772
5,7148
9,6022
18,6696
0,9763
4,9641
-0,7884
-9,6841
3,1994
9,6076
7,1714
7,6861
6,6166
7,5762
6,9947
-5,2495
4,4846
7,7240
13,0632
9,7316
-0,9995
29,4588
3,5897
7,8762
4,7707
13,8788
13,0097
20,3810
4,7066
38,6098
2,7925
4,6186
7,0446
15,4105
13,0614
5,5269
7,6482
-2,6706
13,4955
7,4919
-7,0478
-0,4216
5,7898
2,3004
5,0713
-5,5851
1,1976
1,4131
-0,7362
15,6349
14,0386
10,4649
5,6188
5,8617
8,7277
2,4283
4,6042
19,2861
16,2452
14,7965
14,1279
6,7934
-3,0298
15,2543
4,1849
-0,1624
15,5425
15,3213
27,3023
2,7161
57,5672
5,3862
7,0058
19,4589
22,3615
7,9137
3,6137
14,7664
53,3234
-1,4366
2,5507
5,4528
12,6257
10,6458
12,1706
-3,0434
8,0102
-9,9872
-2,9695
9,7007
22,3428
15,1080
11,4659
10,0529
12,0546
2,1550
4,0958
7,8538
0,9070
18,1081
16,1427
0,4591
-0,4153
12,8615
19,0139
2,0647
16,6585
18,2854
37,1130
9,4917
7,7262
5,2563
4,4497
-3,9397
-5,2255
-11,5167
21,4079
-4,1109
-7,8474
14,7887
-5,9101
14,3780
4,6094
5,4033
-2,4295
7,3033
4,1036
11,3240
11,2818
24,0594
6,9476
-3,1652
11,0008
14,9736
3,8031
7,8336
17,3905
8,9523
-3,4592
-2,4727
-8,2748
8,3776
-4,5382
-0,2120
4,4314
-6,3800
-3,4248
14,1475
14,3822
6,3179
7,1313
10,1798
-1,1740
5,2592
28,8415
1,9166
10,8810
2,9691
5,9205
22,8781
21,2568
-1,2529
-0,1627
-17,0750
13,9356
3,8951
-4,3652
8,8059
3,7137
17,8941
12,2158
6,9362
-1,6908
8,4429
3,4513
9,7437
7,0358
5,0759
4,1825
3,3961
3,4090
-3,6528
-5,1340
10,2260
12,9978
16,8101
14,8133
5,8991
-7,1585
10,8871
7,8687
12,7419
16,6783
33,5242
-1,6660
-1,6172
9,2484
1,7208
2,6440
11,8336
2,6347
-0,9780
13,9595
-1,9680
14,1021
18,4408
15,2120
36,3423
16,1957
-6,5778
26,7881
7,3261
-9,1308
4,8889
-18,6113
2,4088
-13,9598
-1,5115
15,6054
14,1440
2,8013
5,0096
11,4323
31,4316
35,1022
-0,9059
9,0332
13,3238
5,9705
17,4671
8,9367
6,5901
2,0379
3,6663
-2,1862
-8,7143
9,2428
10,5151
8,6155
-2,3569
0,2967
2,4185
18,2872
9,2450
1,1000
3,3829
2,7555
10,4131
11,8253
1,0550
22,6400
5,7486
-1,7028
18,0905
36,9414
-3,8531
-0,0621
16,6998
-0,5930
-10,6785
-15,3123
15,7253
12,8568
-3,5711
20,9645
-11,4561
4,2097
13,6072
10,1953
3,1145
21,8289
9,8018
-0,4883
6,2426
52,6431
-2,7151
-1,2273
3,8961
6,7705
0,1787
10,7067
13,1423
50,2254
8,7408
-5,1461
12,4804
8,4073
-3,7335
4,0235
-7,9747
5,1217
-3,9922
3,4459
2,2773
4,7383
16,3742
3,0631
16,3494
-0,3742
1,2498
1,3214
0,1443
-0,1952
4,8522
1,5918
-0,7348
5,4865
27,8331
5,5154
19,0538
-13,2665
5,5092
11,0301
10,1643
6,3956
24,8270
-1,3691
7,4795
4,4267
30,4197
3,2145
1,7870
21,2748
6,4649
4,6284
-8,9563
6,8062
0,0216
21,0494
-3,2839
5,8402
-4,0081
9,1236
0,7636
0,3205
9,0187
6,4481
14,3710
6,3303
9,5626
7,3243
6,8753
-0,3534
15,0991
11,6365
12,7501
-0,2131
5,7371
8,1792
4,2491
12,3713
10,7675
12,9735
6,1659
14,2700
-2,2807
0,0542
7,2324
39,1326
7,6514
1,1827
15,1247
11,6785
-3,4437
10,5840
15,9118
6,1668
2,8288
1,4332
19,4032
7,2856
-0,7386
5,0272
8,0133
-2,7245
15,0662
5,0147
6,1088
12,5700
49,9624
2,3109
7,1552
16,9210
27,5383
13,5356
0,7559
12,8294
4,7553
6,4040
11,6517
8,2961
4,7913
6,3679
19,5704
8,5629
17,5734
16,2395
12,8498
2,5388
11,1718
1,5809
22,2632
22,8119
-1,8690
0,1976
-2,2983
8,2271
1,9308
13,3040
3,3626
9,0949
-0,7272
7,0432
2,7824
5,9041
8,2287
7,6409
8,3822
18,4106
0,7433
-8,4223
7,3445
15,0218
2,7893
7,2479
7,6227
-3,5108
0,8645
21,1819
12,2607
2,2365
-3,0085
29,1769
0,3455
8,7104
23,9297
4,3795
-9,5976
28,6891
13,0485
-3,1283
-2,6609
21,6633
13,1359
9,2431
0,4818
4,6910
1,7384
10,2053
7,9014
4,7148
19,2901
6,4292
19,4928
9,8141
2,2838
-2,9446
1,7513
6,3880
-3,8745
10,2994
11,8762
9,7845
1,5920
8,2620
9,6537
32,4291
12,1076
12,0508
13,2374
20,1332
5,2537
18,1390
34,9617
23,6538
2,5648
10,8262
3,3923
18,4521
0,5825
4,7090
8,2540
2,8493
-0,7026
12,9613
16,5981
10,1848
5,4572
25,1434
-3,5576
9,2326
0,1498
10,8378
8,5113
8,8574
9,7243
-4,6432
7,7413
-0,4658
8,3178
10,1123
-6,1748
30,0043
5,8677
23,5515
8,5661
14,2736
10,2649
10,4824
-0,8698
5,4460
19,3074
3,0759
31,8055
10,3001
1,4367
13,5828
20,0298
-1,6893
17,9538
2,2668
11,3330
5,5845
12,4788
7,7709
8,7559
-1,3908
-0,3696
-0,4803
7,2219
12,0187
4,1339
2,3600
-4,1697
0,8923
19,1055
8,2892
0,2364
-6,0123
11,7437
2,3518
3,9737
-3,3087
32,0182
5,7163
2,0361
7,8884
7,6580
12,9567
0,7348
5,3068
18,1747
-2,8040
3,4431
23,4748
2,4024
7,9788
2,8375
-4,8312
-3,3775
1,2193
6,3562
2,4390
3,1111
7,4959
10,6238
7,2151
10,1592
-3,0249
-3,5909
35,9630
0,3864
14,1646
9,4352
4,9927
8,3692
15,4623
