0.1000	0.0000	85.7416	72.8905
0.1000	5.0000	84.5200	70.8181
0.1000	10.0000	83.5844	69.5450
0.1000	15.0000	85.9471	72.0152
0.1000	20.0000	85.2277	71.5244
0.1000	25.0000	85.8804	72.0816
0.1000	30.0000	86.2904	72.5348
0.1000	35.0000	84.9324	71.5586
0.1000	40.0000	86.2807	71.5415
0.2000	0.0000	85.8194	72.3782
0.2000	5.0000	85.0526	71.6368
0.2000	10.0000	84.8314	71.3278
0.2000	15.0000	84.9008	71.1940
0.2000	20.0000	85.6045	72.1731
0.2000	25.0000	85.5370	71.7085
0.2000	30.0000	84.4129	69.3249
0.2000	35.0000	85.5934	73.0254
0.2000	40.0000	86.5762	73.2825
0.3000	0.0000	86.1049	72.0879
0.3000	5.0000	85.4242	71.3901
0.3000	10.0000	85.9295	73.0406
0.3000	15.0000	84.9362	70.8873
0.3000	20.0000	85.8363	71.8493
0.3000	25.0000	85.8510	71.5639
0.3000	30.0000	85.3131	71.1520
0.3000	35.0000	85.9442	72.5297
0.3000	40.0000	85.7114	72.1922
0.4000	0.0000	85.6198	71.6506
0.4000	5.0000	84.9806	71.5080
0.4000	10.0000	85.9992	73.4435
0.4000	15.0000	86.6967	73.0312
0.4000	20.0000	86.2470	72.8421
0.4000	25.0000	85.1268	71.4454
0.4000	30.0000	86.3902	72.5661
0.4000	35.0000	85.3353	72.3623
0.4000	40.0000	85.1444	71.5269
0.5000	0.0000	86.3462	71.2563
0.5000	5.0000	84.9282	71.1624
0.5000	10.0000	85.3951	72.0475
0.5000	15.0000	86.0551	72.7736
0.5000	20.0000	86.4309	72.3472
0.5000	25.0000	84.5610	70.7917
0.5000	30.0000	86.2414	71.5508
0.5000	35.0000	85.9996	71.9239
0.5000	40.0000	85.2332	71.3806
0.6000	0.0000	84.6271	70.3225
0.6000	5.0000	85.4456	71.0928
0.6000	10.0000	85.9685	72.8025
0.6000	15.0000	86.3095	72.8797
0.6000	20.0000	84.7465	71.8104
0.6000	25.0000	84.5465	70.7417
0.6000	30.0000	84.8243	71.7687
0.6000	35.0000	85.6017	70.1968
0.6000	40.0000	86.0055	62.6218
0.7000	0.0000	86.2632	71.7278
0.7000	5.0000	85.1895	71.2876
0.7000	10.0000	85.4335	72.7488
0.7000	15.0000	84.4708	71.1839
0.7000	20.0000	86.3486	72.2161
0.7000	25.0000	85.8680	71.2430
0.7000	30.0000	85.0076	58.6417
0.7000	35.0000	74.3551	4.4329
0.7000	40.0000	12.3784	0.6130
0.8000	0.0000	85.7145	72.4941
0.8000	5.0000	85.9247	72.2209
0.8000	10.0000	86.5018	72.4607
0.8000	15.0000	85.8898	72.0561
0.8000	20.0000	84.4733	45.1762
0.8000	25.0000	69.5116	0.9913
0.8000	30.0000	3.8539	0.9433
0.8000	35.0000	3.6042	0.7462
0.8000	40.0000	3.2121	0.4886
0.9000	0.0000	85.5953	72.2387
0.9000	5.0000	85.4790	72.0044
0.9000	10.0000	86.0319	2.5316
0.9000	15.0000	24.0805	1.2343
0.9000	20.0000	5.0805	1.2589
0.9000	25.0000	3.9120	0.9684
0.9000	30.0000	3.4548	0.8922
0.9000	35.0000	4.8200	1.1288
0.9000	40.0000	4.2851	1.2547
1.0000	0.0000	84.8631	1.2564
1.0000	5.0000	6.2804	1.8231
1.0000	10.0000	5.1642	1.2760
1.0000	15.0000	4.5928	1.0655
1.0000	20.0000	4.6535	0.8824
1.0000	25.0000	4.1944	1.4193
1.0000	30.0000	4.7263	1.3123
1.0000	35.0000	5.5456	1.6256
1.0000	40.0000	5.6733	1.5373
0.0000	0.0000	6.9553	2.4787
